Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,4.626542467,4.782086365,4.947354653,5.119277885,5.315899981,5.534662154,5.7700034,5.99155349,6.226690933,6.504088871,6.82303387,7.322240741,7.859559598,8.411036589,8.90961724,9.360177084,9.579506502,9.775840598,9.935576602,10.09932097,10.28067722,10.39864333,10.51793598,10.61090961,10.6988076,10.73706756,10.89384159,11.03345938,11.13990265,11.23095526,11.29173885,10.78767897,10.39278132,10.12381066,9.974102988,9.921372409,10.06039003,10.22805922,10.43544413,10.67008386,10.94793057,11.19168892,11.45954962,11.74291261,12.02166747,12.28504038,12.76743757,13.2426111,13.74872145,14.30220626,14.94627343,15.36316823,15.83045961,16.34874327,16.92226262,17.54964593,18.23147267,18.96122132,19.73988439,20.57632999,21.47519762
Africa Eastern and Southern,AFE,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.80595112,5.841214848,5.854826557,5.850969296,5.833746513,5.805963201,5.836684804,5.848291896,5.844122772,5.827580074,5.801470737,5.843896363,5.869945912,5.880419231,5.875231711,5.855507174,5.892205083,5.913320991,5.924551986,5.92998864,5.931065419,5.943163208,5.937910766,5.918429321,5.887204561,5.846371856,5.872020941,5.88213371,5.879503562,5.867159598,5.847689507,5.865993412,5.87116428,5.866483046,5.856569967,5.845101411,5.864873184,5.87172206,5.865169444,5.841921672,5.800438064,5.793074404,5.764721165,5.721663772,5.670354629,5.61460588,5.620000822,5.615974138,5.604161448,5.585900311,5.563035429,5.579811046,5.590018723,5.595845851,5.599316511,5.602250459,5.633472396,5.659006513,5.681026724,5.701516413,5.722296358
Afghanistan,AFG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.082213555,5.130138751,5.139641043,5.115525965,5.063749438,4.987898558,5.03818379,5.062479659,5.059056959,5.025277741,4.961263617,5.001083219,5.010850327,4.994036092,4.955249932,4.897389986,4.937336105,4.942079271,4.910613399,4.842659717,4.738213548,4.801569585,4.813538306,4.766775645,4.653224664,4.462319717,4.543756287,4.596788045,4.615227766,4.590042591,4.51390235,4.526276134,4.554263027,4.601020776,4.667323418,4.754422597,4.780925188,4.784443692,4.768536173,4.737744446,4.695194146,4.645423995,4.594511322,4.546036496,4.501744119,4.462753572,4.525504924,4.577608827,4.62187756,4.663034256,4.703891922,4.714208862,4.723094409,4.727602227,4.722936565,4.708320454,4.735988022,4.750927272,4.758272778,4.763616493,4.770664042
Africa Western and Central,AFW,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.29957703,5.37059686,5.416421951,5.436592866,5.429857971,5.397442483,5.465849322,5.503627064,5.515645668,5.507121039,5.482159593,5.547715858,5.589147869,5.608649949,5.608328906,5.590710347,5.649705749,5.684158149,5.698375747,5.696713958,5.682396771,5.751529825,5.801037671,5.832587696,5.847475631,5.847497623,5.89601329,5.9222941,5.929094733,5.918794358,5.893924096,5.909151633,5.901917557,5.87600986,5.834704873,5.781092437,5.769893435,5.738415422,5.691216034,5.632657779,5.566124639,5.554421653,5.524187924,5.479491257,5.424507781,5.362368912,5.372166372,5.367479757,5.348971377,5.316444081,5.271361155,5.282303266,5.275967645,5.256038252,5.226064826,5.189192748,5.199658927,5.197794532,5.187109279,5.170925372,5.152082248
Angola,AGO,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.48102624,5.622013163,5.734566116,5.812699606,5.847773202,5.835119435,5.783518441,5.668080718,5.491991824,5.267345572,5.006728098,5.086925674,5.161354301,5.217099812,5.237161414,5.218010857,5.200861665,5.145230594,5.076070216,5.021677619,4.993875812,5.031181598,5.079263071,5.122671406,5.1373993,5.11444138,5.108284444,5.065423119,5.007511794,4.960706599,4.93685452,4.978259235,5.02093418,5.058190663,5.081596008,5.08817865,5.129365406,5.14706269,5.146342798,5.132916296,5.109915788,5.12473443,5.123483186,5.103512269,5.060254729,4.993822337,4.952988847,4.888353261,4.811589419,4.735383165,4.665743984,4.647636601,4.62868452,4.602138785,4.558696912,4.496403324,4.460868132,4.407191093,4.347987485,4.297382211,4.26245349
Albania,ALB,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,9.94022096,9.97069344,10.06712578,10.18712389,10.27335982,10.29594155,10.20448222,10.05816005,9.890452498,9.742233889,9.635497445,9.546254579,9.476218683,9.416090797,9.351147819,9.276783726,9.237415523,9.184205184,9.125026198,9.069731121,9.023153008,9.001808942,8.982934553,8.964496573,8.940045763,8.908175138,8.8917333,8.864585857,8.844383617,8.853025204,8.901593755,9.191396399,9.516995659,9.867033462,10.22300953,10.57535405,10.7220606,10.85417974,10.98350622,11.12271411,11.27352205,11.60725768,11.96103318,12.32892986,12.70233065,13.07835117,13.59162052,14.13204714,14.69930667,15.29301842,15.91253476,16.31519243,16.74338367,17.21555374,17.7563718,18.3779739,18.87008579,19.41806394,20.04121416,20.76473565,21.60545317
Andorra,AND,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.591954083,6.700900744,6.793279719,6.86732593,6.919221517,6.947790747,7.015590821,7.053471271,7.070116771,7.075065014,7.073559667,7.118327253,7.148209874,7.161072925,7.153340834,7.125602084,7.113480939,7.081021695,7.035086396,6.982556049,6.928032535,6.90401957,6.870981161,6.832832801,6.793740403,6.757143648,6.758940753,6.7590097,6.761258345,6.767896295,6.758975761,6.798594523,6.88014285,6.907187435,6.931273705,6.9158652,6.946867577,6.968000397,6.981807,6.988116401,6.987119443,6.975667614,6.956360141,6.929347368,6.89296866,6.848758377,6.808759004,6.759557266,6.711797918,6.676818574,6.661624142,6.668729116,6.68688531,6.720705357,6.77649938,6.858187072,6.981480982,7.121449857,7.273801924,7.4320032,7.59307165
United Arab Emirates,ARE,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.604382114,5.951828261,5.364705882,4.828307971,4.333595673,3.850173629,3.428677334,3.057725281,2.737573546,2.468828899,2.254321731,1.829559776,1.691198253,1.743009767,1.902764503,2.119105388,2.04662053,2.025921133,2.042990726,2.061755822,2.054746833,2.020780464,1.950035621,1.878842491,1.834026445,1.822542702,1.786790697,1.773485016,1.775112609,1.777981457,1.771747161,1.716766006,1.653876594,1.588439595,1.526886098,1.472269265,1.462954017,1.474925643,1.497028408,1.509303836,1.499467291,1.386590297,1.286049997,1.203384654,1.14194595,1.098905843,0.971840036,0.889013504,0.837761628,0.808932872,0.795735624,0.864472181,0.937429288,1.006727769,1.062267146,1.099339013,1.16627718,1.225037377,1.286894808,1.374703848,1.506655343
Argentina,ARG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.722882625,8.946131916,9.156861783,9.360360387,9.563201217,9.769882983,10.01496897,10.25302518,10.48344504,10.7048974,10.91788454,11.16311027,11.39050013,11.60394297,11.80761842,12.00455236,12.27304691,12.53025489,12.77391563,12.99953692,13.20642799,13.41247959,13.59013599,13.74901677,13.8998985,14.04865592,14.23487928,14.40384197,14.55530733,14.6871645,14.79873467,14.98124024,15.13386599,15.2595431,15.36174426,15.44389185,15.55121839,15.63480711,15.69513928,15.72980391,15.73979598,15.77161218,15.77667652,15.76594435,15.75186257,15.7434288,15.78289792,15.81544071,15.85190687,15.90613631,15.98742733,16.11911661,16.26502324,16.42216405,16.58411703,16.74806751,16.9526709,17.14903839,17.33868976,17.52317486,17.70534915
